MultiAgentSystem Name,Task ID (Specific to MAS),Path in GH repo to the execution trace,Freeform Text Annotation by Human Annotator,Is the task Successfully solved (in spite of inefficiencies),Selected as example for,,Failure to detect ambiguity / contradictions,Proceed with incorrect assumptions,Fail to elicit clarification,Tendency to overachieve,Underperform by waiting on instructions,Withholding relevant information,Derailing from task objectives,Waiting on agents to discover known insights for increased confidence,Redundant conversation turns for iterative tasks rather than batching,Unaware of stopping conditions,Difficulty in agreeing with agents,No attempt to verify outcome,Evaluator agent fails to be critical,Poor adherence to specified constraints,Misalignment between internal thoughts and response message,Claiming that a task is done while it is not true.,Ignoring good suggestions from other agent,Discontinued reasoning,Trajectory restart,Step repetition,Invented content,Blurring roles,Bad agent specifications,Conversation repetition
HyperAgent,pydata__xarray-4493,https://github.com/LakshyAAAgrawal/MultiAgentFailureTaxonomyAnnotations/blob/main/HyperAgent/pydata__xarray-4493_human.json,It seems that the original solution doesn't solve the issue. So it is a hard problem. In the final part the planner says that more tests are required but then it states that they have solved the problem. ,FALSE,,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
HyperAgent,matplotlib__matplotlib-25433,https://github.com/LakshyAAAgrawal/MultiAgentFailureTaxonomyAnnotations/blob/main/HyperAgent/matplotlib__matplotlib-25433_human.json,The Navigator thinks also about possible solutions but then it does not communicate it to the Planner. At certain point the Executor states 'The above output is just an example' but the Planner thinks that the test are passed 'Thank you for running the test and providing the results'. ,FALSE,,,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,
HyperAgent,matplotlib__matplotlib-18869,https://github.com/LakshyAAAgrawal/MultiAgentFailureTaxonomyAnnotations/blob/main/HyperAgent/matplotlib__matplotlib-18869_human.json,The trajectory ended with Planner asking to run some tests but no response from Executor.,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
HyperAgent,pallets__flask-5063,https://github.com/LakshyAAAgrawal/MultiAgentFailureTaxonomyAnnotations/blob/main/HyperAgent/pallets__flask-5063_human.json,This is a feature request. The navigator proposed a solution for FastAPI and not for Flask. Multiple repeated imports. ,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,,
HyperAgent,astropy__astropy-12907,https://github.com/LakshyAAAgrawal/MultiAgentFailureTaxonomyAnnotations/blob/main/HyperAgent/astropy__astropy-12907_human.json,"The navigator continues proposing to edit _separable at the beginning. Then they located correctly _cstack. At certain point, it is proposed to check _coord_matrix but Navigator failed to propose its content. Instead, it proposed to pip install the package and open the file from the installed package. It also proposed a invented snippet that might be similator to the _coord_matrix function. ",FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,,
HyperAgent,matplotlib__matplotlib-24265,https://github.com/LakshyAAAgrawal/MultiAgentFailureTaxonomyAnnotations/blob/main/HyperAgent/matplotlib__matplotlib-24265_human.json,They have implemented an alternative solution. ,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
HyperAgent,django__django-10924,https://github.com/LakshyAAAgrawal/MultiAgentFailureTaxonomyAnnotations/blob/main/HyperAgent/django__django-10924_human.json,They located the wrong file to modify. No tests are run to verify. ,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
HyperAgent,scikit-learn__scikit-learn-10508,https://github.com/LakshyAAAgrawal/MultiAgentFailureTaxonomyAnnotations/blob/main/HyperAgent/scikit-learn__scikit-learn-10508_human.json,They forgot the inverse_transform case.,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
HyperAgent,pytest-dev__pytest-7168,https://github.com/LakshyAAAgrawal/MultiAgentFailureTaxonomyAnnotations/blob/main/HyperAgent/pytest-dev__pytest-7168_human.json,They proposed another solution.,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
HyperAgent,scikit-learn__scikit-learn-25570,https://github.com/LakshyAAAgrawal/MultiAgentFailureTaxonomyAnnotations/blob/main/HyperAgent/scikit-learn__scikit-learn-25570_human.json,The example code provided at the beginning requires lighgbm. The agents decides to substitute this with a model inside scikit-learn. But the the Planner come back to lightgbm as it hasn't seen that the new code does not have it.  ,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,
