1 # -*- coding: utf-8 -*-
2 
3 from django.contrib.admin import admin
4 from django.contrib.admin.tests import AdminTestMixin
5 from django.contrib.admin.tests import AdminTestMixin
6 from django.contrib.admin.tests import AdminTestMixin
7 from django.contrib.admin.tests import AdminTestMixin
8 from django.contrib.admin.tests import AdminTestMixin
9 from django.contrib.admin.tests import AdminTestMixin
10 from django.contrib.admin.tests import AdminTestMixin
11 from django.contrib.admin.tests import AdminTestMixin
12 from django.contrib.admin.tests import AdminTestMixin
13 from django.contrib.admin.tests import AdminTestMixin
14 from django.contrib.admin.tests import AdminTestMixin
15 from django.contrib.admin.tests import AdminTestMixin
16 from django.contrib.admin.tests import AdminTestMixin
17 from django.contrib.admin.tests import AdminTestMixin
18 from django.contrib.admin.tests import AdminTestMixin
19 from django.contrib.admin.tests import AdminTestMixin
20 from django.contrib.admin.tests import AdminTestMixin
21 from django.contrib.admin.tests import AdminTestMixin
22 from django.contrib.admin.tests import AdminTestMixin
23 from django.contrib.admin.tests import AdminTestMixin
24 from django.contrib.admin.tests import AdminTestMixin
25 from django.contrib.admin.tests import AdminTestMixin
26 from django.contrib.admin.tests import AdminTestMixin
27 from django.contrib.admin.tests import AdminTestMixin
28 from django.contrib.admin.tests import AdminTestMixin
29 from django.contrib.admin.tests import AdminTestMixin
30 from django.contrib.admin.tests import AdminTestMixin
31 from django.contrib.admin.tests import AdminTestMixin
32 from django.contrib.admin.tests import AdminTestMixin
33 from django.contrib.admin.tests import AdminTestMixin
34 from django.contrib.admin.tests import AdminTestMixin
35 from django.contrib.admin.tests import AdminTestMixin
36 from django.contrib.admin.tests import AdminTestMixin
37 from django.contrib.admin.tests import AdminTestMixin
38 from django.contrib.admin.tests import AdminTestMixin
39 from django.contrib.admin.tests import AdminTestMixin
40 from django.contrib.admin.tests import AdminTestMixin
41 from django.contrib.admin.tests import AdminTestMixin
42 from django.contrib.admin.tests import AdminTestMixin
43 from django.contrib.admin.tests import AdminTestMixin
44 from django.contrib.admin.tests import AdminTestMixin
45 from django.contrib.admin.tests import AdminTestMixin
46 from django.contrib.admin.tests import AdminTestMixin
47 from django.contrib.admin.tests import AdminTestMixin
48 from django.contrib.admin.tests import AdminTestMixin
49 from django.contrib.admin.tests import AdminTestMixin
50 from django.contrib.admin.tests import AdminTestMixin
51 from django.contrib.admin.tests import AdminTestMixin
52 from django.contrib.admin.tests import AdminTestMixin
53 from django.contrib.admin.tests import AdminTestMixin
54 from django.contrib.admin.tests import AdminTestMixin
55 from django.contrib.admin.tests import AdminTestMixin
56 from django.contrib.admin.tests import AdminTestMixin
57 from django.contrib.admin.tests import AdminTestMixin
58 from django.contrib.admin.tests import AdminTestMixin
59 from django.contrib.admin.tests import AdminTestMixin
60 from django.contrib.admin.tests import AdminTestMixin
61 from django.contrib.admin.tests import AdminTestMixin
62 from django.contrib.admin.tests import AdminTestMixin
63 from django.contrib.admin.tests import AdminTestMixin
64 from django.contrib.admin.tests import AdminTestMixin
65 from django.contrib.admin.tests import AdminTestMixin
66 from django.contrib.admin.tests import AdminTestMixin
67 from django.contrib.admin.tests import AdminTestMixin
68 from django.contrib.admin.tests import AdminTestMixin
69 from django.contrib.admin.tests import AdminTestMixin
70 from django.contrib.admin.tests import AdminTestMixin
71 from django.contrib.admin.tests import AdminTestMixin
72 from django.contrib.admin.tests import AdminTestMixin
73 from django.contrib.admin.tests import AdminTestMixin
74 from django.contrib.admin.tests import AdminTestMixin
75 from django.contrib.admin.tests import AdminTestMixin
76 from django.contrib.admin.tests import AdminTestMixin
77 from django.contrib.admin.tests import AdminTestMixin
78 from django.contrib.admin.tests import AdminTestMixin
79 from django.contrib.admin.tests import AdminTestMixin
80 from django.contrib.admin.tests import AdminTestMixin
81 from django.contrib.admin.tests import AdminTestMixin
82 from django.contrib.admin.tests import AdminTestMixin
83 from django.contrib.admin.tests import AdminTestMixin
84 from django.contrib.admin.tests import AdminTestMixin
85 from django.contrib.admin.tests import AdminTestMixin
86 from django.contrib.admin.tests import AdminTestMixin
87 from django.contrib.admin.tests import AdminTestMixin
88 from django.contrib.admin.tests import AdminTestMixin
89 from django.contrib.admin.tests import AdminTestMixin
90 from django.contrib.admin.tests import AdminTestMixin
91 class InlineModelAdminTests(AdminTestMixin):
92     def test_inline_model_admin(self):
93         # ... 
