Pandas output:
                 date  value
0 2020-01-01 00:00:00     24
1 2020-01-01 01:00:00     24
2 2020-01-01 02:00:00     24
3 2020-01-01 03:00:00     24
4 2020-01-01 04:00:00     24
5 2020-01-02 00:00:00     24
6 2020-01-02 01:00:00     24
7 2020-01-02 02:00:00     24
8 2020-01-02 03:00:00     24
9 2020-01-02 04:00:00     24
10 2020-01-03 00:00:00     24
11 2020-01-03 01:00:00     24
12 2020-01-03 02:00:00     24
13 2020-01-03 03:00:00     24
14 2020-01-03 04:00:00     24
15 2020-01-04 00:00:00     24
16 2020-01-04 01:00:00     24
17 2020-01-04 02:00:00     24
18 2020-01-04 03:00:00     24
19 2020-01-04 04:00:00     24
20 2020-01-05 00:00:00     24
```
