```python
def simplify(expr):
    # ...
    if expr.is_Mul:
        # ...
    elif expr.is_Add:
        # ...
    elif expr.is_Pow:
        # ...
    elif expr.is_Function:
        # ...
    elif expr.is_Symbol:
        # ...
    elif expr.is_number:
        # ...
    elif expr.is_Atom:
        # ...
    elif expr.is_Mul:
        # ...
    elif expr.is_Add:
        # ...
    elif expr.is_Pow:
        # ...
    elif expr.is_Function:
        # ...
    elif expr.is_Symbol:
        # ...
    elif expr.is_number:
        # ...
    elif expr.is_Atom:
        # ...
    elif expr.is_Mul:
        # ...
    elif expr.is_Add:
        # ...
    elif expr.is_Pow:
        # ...
    elif expr.is_Function:
        # ...
    elif expr.is_Symbol:
        # ...
    elif expr.is_number:
        # ...
    elif expr.is_Atom:
        # ...
    elif expr.is_Mul:
        # ...
    elif expr.is_Add:
        # ...
    elif expr.is_Pow:
        # ...
    elif expr.is_Function:
        # ...
    elif expr.is_Symbol:
        # ...
    elif expr.is_number:
        # ...
    elif expr.is_Atom:
        # ...
    elif expr.is_Mul:
        # ...
    elif expr.is_Add:
        # ...
    elif expr.is_Pow:
        # ...
    elif expr.is_Function:
        # ...
    elif expr.is_Symbol:
        # ...
    elif expr.is_number:
        # ...
    elif expr.is_Atom:
        # ...
    elif expr.is_Mul:
        # ...
    elif expr.is_Add:
        # ...
    elif expr.is_Pow:
        # ...
    elif expr.is_Function:
        # ...
    elif expr.is_Symbol:
        # ...
    elif expr.is_number:
        # ...
    elif expr.is_Atom:
        # ...
    elif expr.is_Mul:
        # ...
    elif expr.is_Add:
        # ...
    elif expr.is_Pow:
        # ...
    elif expr.is_Function:
        # ...
    elif expr.is_Symbol:
        # ...
    elif expr.is_number:
        # ...
    elif expr.is_Atom:
        # ...
    elif expr.is_Mul:
        # ...
    elif expr.is_Add:
        # ...
    elif expr.is_Pow:
        # ...
    elif expr.is_Function:
        # ...
    elif expr.is_Symbol:
        # ...
    elif expr.is_number:
        # ...
    elif expr.is_Atom:
        # ...
    elif expr.is_Mul:
        # ...
    elif expr.is_Add:
        # ...
    elif expr.is_Pow:
        # ...
    elif expr.is_Function:
        # ...
    elif expr.is_Symbol:
        # ...
    elif expr.is_number:
        # ...
    elif expr.is_Atom:
        # ...
    elif expr.is_Mul:
        # ...
    elif expr.is_Add:
        # ...
    elif expr.is_Pow:
        # ...
    elif expr.is_Function:
        # ...
    elif expr.is_Symbol:
        # ...
    elif expr.is_number:
        # ...
    elif expr.is_Atom:
        # ...
    elif expr.is_Mul:
        # ...
    elif expr.is_Add:
        # ...
    elif expr.is_Pow:
        # ...
    elif expr.is_Function:
        # ...
    elif expr.is_Symbol:
        # ...
    elif expr.is_number:
        # ...
    elif expr.is_Atom:
        # ...
    elif expr.is_Mul:
        # ...
    elif expr.is_Add:
        # ...
    elif expr.is_Pow:
        # ...
    elif expr.is_Function:
        # ...
    elif expr.is_Symbol:
