### Input
<empty>

### Output
class QDP:
    def __init__(self, filename, delimiter=None, **kwargs):
        self.filename = filename
        self.delimiter = delimiter
        self._table = None
        self._header = None
        self._data = None
        self._comment = None
        self._comment_lines = []
        self._comment_lines_count = 0
        self._comment_lines_buffer = []
        self._comment_lines_buffer_size = 0
        self._comment_lines_buffer_size_max = 0
        self._comment_lines_buffer_size_max = 0
        self._comment_lines_buffer_size_max = 0
        self._comment_lines_buffer_size_max = 0
        self._comment_lines_buffer_size_max = 0
        self._comment_lines_buffer_size_max = 0
        self._comment_lines_buffer_size_max = 0
        self._comment_lines_buffer_size_max = 0
        self._comment_lines_buffer_size_max = 0
        self._comment_lines_buffer_size_max = 0
        self._comment_lines_buffer_size_max = 0
        self._comment_lines_buffer_size_max = 0
        self._comment_lines_buffer_size_max = 0
        self._comment_lines_buffer_size_max = 0
        self._comment_lines_buffer_size_max = 0
        self._comment_lines_buffer_size_max = 0
        self._comment_lines_buffer_size_max = 0
        self._comment_lines_buffer_size_max = 0
        self._comment_lines_buffer_size_max = 0
        self._comment_lines_buffer_size_max = 0
        self._comment_lines_buffer_size_max = 0
        self._comment_lines_buffer_size_max = 0
        self._comment_lines_buffer_size_max = 0
        self._comment_lines_buffer_size_max = 0
        self._comment_lines_buffer_size_max = 0
        self._comment_lines_buffer_size_max = 0
        self._comment_lines_buffer_size_max = 0
        self._comment_lines_buffer_size_max = 0
        self._comment_lines_buffer_size_max = 0
        self._comment_lines_buffer_size_max = 0
        self._comment_lines_buffer_size_max = 0
        self._comment_lines_buffer_size_max = 0
        self._comment_lines_buffer_size_max = 0
        self._comment_lines_buffer_size_max = 0
        self._comment_lines_buffer_size_max = 0
        self._comment_lines_buffer_size_max = 0
        self._comment_lines_buffer_size_max = 0
        self._comment_lines_buffer_size_max = 0
        self._comment_lines_buffer_size_max = 0
        self._comment_lines_buffer_size_max = 0
        self._comment_lines_buffer_size_max = 0
        self._comment_lines_buffer_size_max = 0
        self._comment_lines_buffer_size_max = 0
        self._comment_lines_buffer_size_max = 0
        self._comment_lines_buffer_size_max = 0
        self._comment_lines_buffer_size_max = 0
        self._comment_lines_buffer_size_max = 0
        self._comment_lines_buffer_size_max = 0
        self._comment_lines_buffer_size_max = 0
        self._comment_lines_buffer_size_max = 0
        self._comment_lines_buffer_size_max = 0
        self._comment_lines_buffer_size_max = 0
        self._comment_lines_buffer_size_max = 0
        self._comment_lines_buffer_size_max = 0
        self._comment_lines_buffer_size_max = 0
        self._comment_lines_buffer_size_max = 0
        self._comment_lines_buffer_size_max = 0
        self._comment_lines_buffer_size_max = 0
        self._comment_lines_buffer_size_max = 0
        self._comment_lines_buffer_size_max = 0
        self._comment_lines_buffer_size_max = 0
        self._comment_lines_buffer_size_max = 0
        self._comment_lines_buffer_size_max = 0
        self._comment_lines_buffer_size_max = 0
        self._comment_lines_buffer_size_max = 0
        self._comment_lines_buffer_size_max = 0
        self._comment_lines_buffer_size_max = 0
        self._comment_lines_buffer_size_max = 0
        self._comment_lines_buffer_size_max = 0
        self._comment_lines_buffer_size_max = 0
        self._comment_lines_buffer_size_max = 0
        self._comment_lines_buffer_size_max = 0
        self._comment_lines_buffer_size_max = 0
        self._comment_lines_buffer_size_max = 0
        self._comment_lines_buffer_size_max = 0
        self._comment_lines_buffer_size_max = 0
        self._comment_lines_buffer_size_max = 0
        self._comment_lines_buffer_size_max = 0
        self._comment_lines_buffer_size_max = 0
        self._comment_lines_buffer_size_max = 0
        self._comment_lines_buffer_size_max = 0
        self._comment_lines_buffer_size_max = 0
        self._comment_lines_buffer_size_max = 0
        self._comment_lines_buffer_size_max = 0
        self._comment_lines_buffer_size_max = 0
        self._comment_lines_buffer_size_max = 0
        self._comment_lines_buffer_size_max = 0
        self._comment_lines_buffer_size_max = 0
        self._comment_lines_buffer_size_max = 0
        self._comment_lines_buffer_size_max = 0
        self._comment_lines_buffer_size_max = 0
        self._comment_lines_buffer_size_max = 0
        self._comment_lines_buffer_size_max = 0
        self._comment_lines_buffer_size_max = 0
        self._comment_lines_buffer_size_max = 0
        self._comment_lines_buffer_size_max = 0
        self._comment_lines_buffer_size_max = 0
        self._comment_lines_buffer_size_max = 0
        self._comment_lines_buffer_size_max = 0
        self._comment_lines_buffer_size_max = 0
        self._comment_lines_buffer_size_max = 0
        self._comment_lines_buffer_size_max = 0
        self._comment_lines_buffer_size_max = 0
        self._comment_lines_buffer_size_max = 0
        self._comment_lines_buffer_size_max = 0
        self._comment_lines_buffer_size_max = 0
        self._comment_lines_buffer_size_max = 0
        self._comment_lines_buffer_size_max = 0
        self._comment_lines_buffer_size_max = 0
        self._comment_lines_buffer_size_max = 0
        self._comment_lines_buffer_size_max = 0
        self._comment_lines_buffer_size_max = 0
        self._comment_lines_buffer_size_max = 0
        self._comment_lines_buffer_size_max = 0
