### Input
<empty>

### Output
tests/admin_utils/test_admin_utils.py::TestAdminUtils::test_admin_utils PASSED
tests/admin_utils/test_admin_utils.py::TestAdminUtils::test_admin_utils_with_args PASSED
tests/admin_utils/test_json_field_display.py::TestJsonFieldDisplay::test_json_field_display PASSED
tests/admin_utils/test_json_field_display.py::TestJsonFieldDisplay::test_json_field_display_with_custom_renderer PASSED
tests/admin_utils/test_json_field_display.py::TestJsonFieldDisplay::test_json_field_display_with_custom_formatter PASSED
tests/admin_utils/test_json_field_display.py::TestJsonFieldDisplay::test_json_field_display_with_custom_formatter_and_renderer PASSED
tests/admin_utils/test_json_field_display.py::TestJsonFieldDisplay::test_json_field_display_with_invalid_data PASSED
tests/admin_utils/test_json_field_display.py::TestJsonFieldDisplay::test_json_field_display_with_empty_data PASSED
tests/admin_utils/test_json_field_display.py::TestJsonFieldDisplay::test_json_field_display_with_none_data PASSED
tests/admin_utils/test_json_field_display.py::TestJsonFieldDisplay::test_json_field_display_with_invalid_type PASSED
