### Input
<empty>

### Output
    def _clone(self, with_related_objects=False, construct=False, build=False):
        # ...
        clone = self.__class__(self.db, self.model, using=self._db)
        clone.query.set_query_set(self)
        clone._for_write = self._for_write
        clone._prefetch_related_lookups = self._prefetch_related_lookups
        clone._prefetch_done = self._prefetch_done
        clone._result_cache = self._result_cache
        clone._result_cache_graph = self._result_cache_graph
        clone._result_cache_graph_done = self._result_cache_graph_done
        clone._result_cache_done = self._result_cache_done
        clone._fields = self._fields
        clone._fields_cache = self._fields_cache
        clone._fields_cache_done = self._fields_cache_done
        clone._deferred = self._deferred
        clone._select_related = self._select_related
        clone._select_related_cache = self._select_related_cache
        clone._select_related_cache_done = self._select_related_cache_done
        clone._select_for_update = self._select_for_update
        clone._select_for_update_cache = self._select_for_update_cache
        clone._select_for_update_cache_done = self._select_for_update_cache_done
        clone._result_iter = self._result_iter
        clone._result_iter_done = self._result_iter_done
        clone._result_iter_cache = self._result_iter_cache
        clone._result_iter_cache_done = self._result_iter_cache_done
        clone._result_cache_iter = self._result_cache_iter
        clone._result_cache_iter_done = self._result_cache_iter_done
        clone._result_cache_iter_cache = self._result_cache_iter_cache
        clone._result_cache_iter_cache_done = self._result_cache_iter_cache_done
        clone._result_cache_iter_graph = self._result_cache_iter_graph
        clone._result_cache_iter_graph_done = self._result_cache_iter_graph_done
        clone._result_cache_iter_graph_cache = self._result_cache_iter_graph_cache
        clone._result_cache_iter_graph_cache_done = self._result_cache_iter_graph_cache_done
        clone._result_cache_iter_graph_done = self._result_cache_iter_graph_done
        clone._result_cache_iter_graph = self._result_cache_iter_graph
        clone._result_cache_iter_graph_done = self._result_cache_iter_graph_done
        clone._result_cache_iter_graph_cache = self._result_cache_iter_graph_cache
        clone._result_cache_iter_graph_cache_done = self._result_cache_iter_graph_cache_done
        clone._result_cache_iter_graph_done = self._result_cache_iter_graph_done
        clone._result_cache_iter_graph = self._result_cache_iter_graph
        clone._result_cache_iter_graph_done = self._result_cache_iter_graph_done
        clone._result_cache_iter_graph_cache = self._result_cache_iter_graph_cache
        clone._result_cache_iter_graph_cache_done = self._result_cache_iter_graph_cache_done
        clone._result_cache_iter_graph_done = self._result_cache_iter_graph_done
        clone._result_cache_iter_graph = self._result_cache_iter_graph
        clone._result_cache_iter_graph_done = self._result_cache_iter_graph_done
        clone._result_cache_iter_graph_cache = self._result_cache_iter_graph_cache
        clone._result_cache_iter_graph_cache_done = self._result_cache_iter_graph_cache_done
        clone._result_cache_iter_graph_done = self._result_cache_iter_graph_done
        clone._result_cache_iter_graph = self._result_cache_iter_graph
        clone._result_cache_iter_graph_done = self._result_cache_iter_graph_done
        clone._result_cache_iter_graph_cache = self._result_cache_iter_graph_cache
        clone._result_cache_iter_graph_cache_done = self._result_cache_iter_graph_cache_done
        clone._result_cache_iter_graph_done = self._result_cache_iter_graph_done
        clone._result_cache_iter_graph = self._result_cache_iter_graph
        clone._result_cache_iter_graph_done = self._result_cache_iter_graph_done
        clone._result_cache_iter_graph_cache = self._result_cache_iter_graph_cache
        clone._result_cache_iter_graph_cache_done = self._result_cache_iter_graph_cache_done
        clone._result_cache_iter_graph_done = self._result_cache_iter_graph_done
        clone._result_cache_iter_graph = self._result_cache_iter_graph
        clone._result_cache_iter_graph_done = self._result_cache_iter_graph_done
        clone._result_cache_iter_graph_cache = self._result_cache_iter_graph_cache
        clone._result_cache_iter_graph_cache_done = self._result_cache_iter_graph_cache_done
        clone._result_cache_iter_graph_done = self._result_cache_iter_graph_done
        clone._result_cache_iter_graph = self._result_cache_iter_graph
        clone._result_cache_iter_graph_done = self._result_cache_iter_graph_done
        clone._result_cache_iter_graph_cache = self._result_cache_iter_graph_cache
        clone._result_cache_iter_graph_cache_done = self._result_cache_iter_graph_cache_done
        clone._result_cache_iter_graph_done = self._result_cache_iter_graph_done
        clone._result_cache_iter_graph = self._result_cache_iter_graph
        clone._result_cache_iter_graph_done = self._result_cache_iter_graph_done
        clone._result_cache_iter_graph_cache = self._result_cache_iter_graph_cache
        clone._result_cache_iter_graph_cache_done = self._result_cache_iter_graph_cache_done
