### Input
<empty>

### Output
```python
import os
import time
import threading
import atexit
import signal
import sys
import os.path
import os.path
import threading
import time
import atexit
import signal
import sys
import os
import os.path
import threading
import time
import atexit
import signal
import sys
import os
import os.path
import threading
import time
import atexit
import signal
import sys
import os
import os.path
import threading
import time
import atexit
import signal
import sys
import os
import os.path
import threading
import time
import atexit
import signal
import sys
import os
import os.path
import threading
import time
import atexit
import signal
import sys
import os
import os.path
import threading
import time
import atexit
import signal
import sys
import os
import os.path
import threading
import time
import atexit
import signal
import sys
import os
import os.path
import threading
import time
import atexit
import signal
import sys
import os
import os.path
import threading
import time
import atexit
import signal
import sys
import os
import os.path
import threading
import time
import atexit
import signal
import sys
import os
import os.path
import threading
import time
import atexit
import signal
import sys
import os
import os.path
import threading
import time
import atexit
import signal
import sys
import os
import os.path
import threading
import time
import atexit
import signal
import sys
import os
import os.path
import threading
import time
import atexit
import signal
import sys
import os
import os.path
import threading
import time
import atexit
import signal
import sys
import os
import os.path
import threading
import time
import atexit
import signal
import sys
import os
import os.path
import threading
import time
import atexit
import signal
import sys
import os
import os.path
import threading
import time
import atexit
import signal
import sys
import os
import os.path
import threading
import time
import atexit
import signal
import sys
import os
import os.path
import threading
import time
import atexit
import signal
import sys
import os
import os.path
import threading
import time
import atexit
import signal
import sys
import os
import os.path
import threading
import time
import atexit
import signal
import sys
import os
import os.path
import threading
import time
import atexit
import signal
import sys
import os
import os.path
import threading
import time
import atexit
import signal
import sys
import os
import os.path
import threading
import time
import atexit
import signal
import sys
import os
import os.path
import threading
import time
import atexit
import signal
import sys
import os
import os.path
import threading
import time
import atexit
import signal
import sys
import os
import os.path
import threading
import time
import atexit
import signal
import sys
import os
import os.path
import threading
import time
import atexit
import signal
import sys
import os
import os.path
import threading
import time
import atexit
import signal
import sys
import os
import os.path
import threading
import time
import atexit
import signal
import sys
import os
import os.path
import threading
import time
import atexit
import signal
import sys
import os
import os.path
import threading
import time
import atexit
import signal
import sys
import os
import os.path
import threading
import time
import atexit
import signal
import sys
import os
import os.path
import threading
import time
import atexit
import signal
import sys
import os
import os.path
import threading
import time
import atexit
import signal
import sys
import os
import os.path
import threading
import time
import atexit
import signal
import sys
import os
import os.path
import threading
import time
import atexit
import signal
import sys
import os
import os.path
import threading
import time
import atexit
import signal
import sys
import os
import os.path
import threading
import time
import atexit
import signal
import sys
import os
import os.path
import threading
import time
import atexit
import signal
import sys
import os
import os.path
import threading
import time
import atexit
import signal
import sys
import os
import os.path
import threading
import time
import atexit
import signal
import sys
import os
import os.path
import threading
import time
import atexit
import signal
import sys
import os
import os.path
import threading
import time
import atexit
import signal
import sys
import os
import os.path
import threading
import time
import atexit
import signal
import sys
import os
import os.path
import threading
import time
import atexit
import signal
import sys
import os
import os.path
import threading
import time
import atexit
import signal
import sys
import os
import os.path
import threading
import time
import atexit
import signal
import sys
import os
import os.path
import threading
import time
import atexit
import signal
import sys
import os
import os.path
import threading
import time
import atexit
import signal
import sys
import os
import os.path
import threading
import time
import atexit
import signal
import sys
import os
import os.path
import threading
import time
import atexit
import signal
import sys
import os
import os.path
import threading
import time
import atexit
import signal
import sys
import os
import os.path
import threading
import time
import atexit
import signal
import sys
import os
import os.path
import threading
import time
import atexit
import signal
import sys
import os
import os.path
import threading
import time
import atexit
import signal
import sys
import os
import os.path
import threading
import time
import atexit
import signal
import sys
import os
import os.path
import threading
import time
import atexit
import signal
import sys
import os
import os.path
import threading
import time
import atexit
import signal
import sys
import os
import os.path
import threading
import time
import atexit
import signal
import sys
import os
import os.path
import threading
import time
import atexit
import signal
import sys
import os
import os.path
import threading
import time
import atexit
import signal
import sys
import os
import os.path
import threading
import time
import atexit
import signal
import sys
import os
import os.path
import threading
import time
import atexit
import signal
import sys
import os
import os.path
import threading
import time
import atexit
import signal
import sys
import os
import os.path
import threading
import time
import atexit
import signal
import sys
import os
import os.path
import threading
import time
import atexit
import signal
import sys
import os
import os.path
import threading
import time
import atexit
import signal
import sys
import os
import os.path
import threading
import time
import atexit
import signal
import sys
import os
import os.path
import threading
import time
import atexit
import signal
import sys
import os
import os.path
import threading
import time
import atexit
import signal
import sys
import os
import os.path
import threading
import time
import atexit
import signal
import sys
import os
import os.path
import threading
import time
import atexit
import signal
import sys
import os
import os.path
import threading
import time
import atexit
import signal
import sys
import os
import os.path
import threading
import time
import atexit
import signal
import sys
import os
import os.path
import threading
import time
import atexit
import signal
import sys
import os
import os.path
import threading
import time
import atexit
import signal
import sys
import os
import os.path
import threading
import time
import atexit
import signal
import sys
import os
import os.path
import threading
import time
import atexit
import signal
import sys
import os
import os.path
import threading
import time
import atexit
import signal
import sys
import os
import os.path
import threading
import time
import atexit
import signal
import sys
import os
import os.path
import threading
import time
import atexit
import signal
import sys
import os
import os.path
import threading
import time
import atexit
import signal
import sys
import os
import os.path
import threading
import time
import atexit
import signal
import sys
import os
import os.path
import threading
import time
import atexit
import signal
import sys
