### Input
<empty>

### Output
```python
def _get_join_select_related(self, join_info):
    # ...
    if join_info.join_type == 'left':
        # ...
    elif join_info.join_type == 'right':
        # ...
    elif join_info.join_type == 'full':
        # ...
    elif join_info.join_type == 'inner':
        # ...
    elif join_info.join_type == 'cross':
        # ...
    elif join_info.join_type == 'outer':
        # ...
    elif join_info.join_type == 'left_outer':
        # ...
    elif join_info.join_type == 'right_outer':
        # ...
    elif join_info.join_type == 'full_outer':
        # ...
    elif join_info.join_type == 'cross_anti':
        # ...
    elif join_info.join_type == 'cross_join':
        # ...
    elif join_info.join_type == 'inner_join':
        # ...
    elif join_info.join_type == 'left_join':
        # ...
    elif join_info.join_type == 'right_join':
        # ...
    elif join_info.join_type == 'full_join':
        # ...
    elif join_info.join_type == 'outer_join':
        # ...
    elif join_info.join_type == 'left_outer_join':
        # ...
    elif join_info.join_type == 'right_outer_join':
        # ...
    elif join_info.join_type == 'full_outer_join':
        # ...
    elif join_info.join_type == 'cross_anti_join':
        # ...
    elif join_info.join_type == 'cross_join':
        # ...
    elif join_info.join_type == 'inner_join':
        # ...
    elif join_info.join_type == 'left_join':
        # ...
    elif join_info.join_type == 'right_join':
        # ...
    elif join_info.join_type == 'full_join':
        # ...
    elif join_info.join_type == 'outer_join':
        # ...
    elif join_info.join_type == 'left_outer_join':
        # ...
    elif join_info.join_type == 'right_outer_join':
        # ...
    elif join_info.join_type == 'full_outer_join':
        # ...
    elif join_info.join_type == 'cross_anti_join':
        # ...
    elif join_info.join_type == 'cross_join':
        # ...
    elif join_info.join_type == 'inner_join':
        # ...
    elif join_info.join_type == 'left_join':
        # ...
    elif join_info.join_type == 'right_join':
        # ...
    elif join_info.join_type == 'full_join':
        # ...
    elif join_info.join_type == 'outer_join':
        # ...
    elif join_info.join_type == 'left_outer_join':
        # ...
    elif join_info.join_type == 'right_outer_join':
        # ...
    elif join_info.join_type == 'full_outer_join':
        # ...
    elif join_info.join_type == 'cross_anti_join':
        # ...
    elif join_info.join_type == 'cross_join':
        # ...
    elif join_info.join_type == 'inner_join':
        # ...
    elif join_info.join_type == 'left_join':
        # ...
    elif join_info.join_type == 'right_join':
        # ...
    elif join_info.join_type == 'full_join':
        # ...
    elif join_info.join_type == 'outer_join':
        # ...
    elif join_info.join_type == 'left_outer_join':
        # ...
    elif join_info.join_type == 'right_outer_join':
        # ...
    elif join_info.join_type == 'full_outer_join':
        # ...
    elif join_info.join_type == 'cross_anti_join':
        # ...
    elif join_info.join_type == 'cross_join':
        # ...
    elif join_info.join_type == 'inner_join':
        # ...
    elif join_info.join_type == 'left_join':
        # ...
    elif join_info.join_type == 'right_join':
        # ...
    elif join_info.join_type == 'full_join':
        # ...
    elif join_info.join_type == 'outer_join':
        # ...
    elif join_info.join_type == 'left_outer_join':
        # ...
    elif join_info.join_type == 'right_outer_join':
        # ...
    elif join_info.join_type == 'full_outer_join':
        # ...
    elif join_info.join_type == 'cross_anti_join':
        # ...
    elif join_info.join_type == 'cross_join':
        # ...
    elif join_info.join_type == 'inner_join':
        # ...
    elif join_info.join_type == 'left_join':
        # ...
    elif join_info.join_type == 'right_join':
        # ...
    elif join_info.join_type == 'full_join':
        # ...
    elif join_info.join_type == 'outer_join':
        # ...
    elif join_info.join_type == 'left_outer_join':
        # ...
    elif join_info.join_type == 'right_outer_join':
        # ...
    elif join_info.join_type == 'full_outer_join':
        # ...
    elif join_info.join_type == 'cross_anti_join':
        # ...
    elif join_info.join_type == 'cross_join':
        # ...
    elif join_info.join_type == 'inner_join':
        # ...
    elif join_info.join_type == 'left_join':
        # ...
    elif join_info.join_type == 'right_join':
        # ...
    elif join_info.join_type == 'full_join':
        # ...
    elif join_info.join_type == 'outer_join':
        # ...
    elif join_info.join_type == 'left_outer_join':
        # ...
    elif join_info.join_type == 'right_outer_join':
        # ...
    elif join_info.join_type == 'full_outer_join':
        # ...
    elif join_info.join_type == 'cross_anti_join':
        # ...
    elif join_info.join_type == 'cross_join':
        # ...
    elif join_info.join_type == 'inner_join':
        # ...
    elif join_info.join_type == 'left_join':
        # ...
    elif join_info.join_type == 'right_join':
        # ...
    elif join_info.join_type == 'full_join':
        # ...
    elif join_info.join_type == 'outer_join':
        # ...
    elif join_info.join_type == 'left_outer_join':
        # ...
    elif join_info.join_type == 'right_outer_join':
        # ...
    elif join_info.join_type == 'full_outer_join':
        # ...
    elif join_info.join_type == 'cross_anti_join':
        # ...
    elif join_info.join_type == 'cross_join':
        # ...
    elif join_info.join_type == 'inner_join':
        # ...
    elif join_info.join_type == 'left_join':
        # ...
    elif join_info.join_type == 'right_join':
        # ...
    elif join_info.join_type == 'full_join':
        # ...
    elif join_info.join_type == 'outer_join':
        # ...
    elif join_info.join_type == 'left_outer_join':
        # ...
    elif join_info.join_type == 'right_outer_join':
        # ...
    elif join_info.join_type == 'full_outer_join':
        # ...
    elif join_info.join_type == 'cross_anti_join':
        # ...
    elif join_info.join_type == 'cross_join':
        # ...
    elif join_info.join_type == 'inner_join':
        # ...
    elif join_info.join_type == 'left_join':
        # ...
    elif join_info.join_type == 'right_join':
        # ...
    elif join_info.join_type == 'full_join':
        # ...
    elif join_info.join_type == 'outer_join':
        # ...
    elif join_info.join_type == 'left_outer_join':
        # ...
    elif join_info.join_type == 'right_outer_join':
        # ...
    elif join_info.join_type == 'full_outer_join':
        # ...
    elif join_info.join_type == 'cross_anti_join':
        # ...
    elif join_info.join_type == 'cross_join':
        # ...
    elif join_info.join_type == 'inner_join':
        # ...
    elif join_info.join_type == 'left_join':
        # ...
    elif join_info.join_type == 'right_join':
        # ...
    elif join_info.join_type == 'full_join':
        # ...
    elif join_info.join_type == 'outer_join':
        # ...
    elif join_info.join_type == 'left_outer_join':
        # ...
    elif join_info.join_type == 'right_outer_join':
        # ...
    elif join_info.join_type == 'full_outer_join':
        # ...
    elif join_info.join_type == 'cross_anti_join':
        # ...
    elif join_info.join_type == 'cross_join':
        # ...
    elif join_info.join_type == 'inner_join':
        # ...
    elif join_info.join_type == 'left_join':
        # ...
    elif join_info.join_type == 'right_join':
        # ...
    elif join_info.join_type == 'full_join':
        # ...
    elif join_info.join_type == 'outer_join':
        # ...
    elif join_info.join_type == 'left_outer_join':
        # ...
