### Input
<empty>

### Output
```python
# sympy/core/sympify.py
def convert(expr, sympify_dict=None):
    # ...
    if isinstance(expr, (str, bytes)):
        # ...
    elif isinstance(expr, dict):
        # ...
    elif isinstance(expr, (list, tuple)):
        # ...
    elif isinstance(expr, (int, float)):
        # ...
    elif isinstance(expr, (complex, complex)):
        # ...
    elif isinstance(expr, (bool, bool)):
        # ...
    elif isinstance(expr, (bytes, str)):
        # ...
    elif isinstance(expr, (list, tuple)):
        # ...
    elif isinstance(expr, (dict, dict)):
        # ...
    elif isinstance(expr, (set, set)):
        # ...
    elif isinstance(expr, (frozenset, frozenset)):
        # ...
    elif isinstance(expr, (complex, complex)):
        # ...
    elif isinstance(expr, (complex, complex)):
        # ...
    elif isinstance(expr, (complex, complex)):
        # ...
    elif isinstance(expr, (complex, complex)):
        # ...
    elif isinstance(expr, (complex, complex)):
        # ...
    elif isinstance(expr, (complex, complex)):
        # ...
    elif isinstance(expr, (complex, complex)):
        # ...
    elif isinstance(expr, (complex, complex)):
        # ...
    elif isinstance(expr, (complex, complex)):
        # ...
    elif isinstance(expr, (complex, complex)):
        # ...
    elif isinstance(expr, (complex, complex)):
        # ...
    elif isinstance(expr, (complex, complex)):
        # ...
    elif isinstance(expr, (complex, complex)):
        # ...
    elif isinstance(expr, (complex, complex)):
        # ...
    elif isinstance(expr, (complex, complex)):
        # ...
    elif isinstance(expr, (complex, complex)):
        # ...
    elif isinstance(expr, (complex, complex)):
        # ...
    elif isinstance(expr, (complex, complex)):
        # ...
    elif isinstance(expr, (complex, complex)):
        # ...
    elif isinstance(expr, (complex, complex)):
        # ...
    elif isinstance(expr, (complex, complex)):
        # ...
    elif isinstance(expr, (complex, complex)):
        # ...
    elif isinstance(expr, (complex, complex)):
        # ...
    elif isinstance(expr, (complex, complex)):
        # ...
    elif isinstance(expr, (complex, complex)):
        # ...
    elif isinstance(expr, (complex, complex)):
        # ...
    elif isinstance(expr, (complex, complex)):
        # ...
    elif isinstance(expr, (complex, complex)):
        # ...
    elif isinstance(expr, (complex, complex)):
        # ...
    elif isinstance(expr, (complex, complex)):
        # ...
    elif isinstance(expr, (complex, complex)):
        # ...
    elif isinstance(expr, (complex, complex)):
        # ...
    elif isinstance(expr, (complex, complex)):
        # ...
    elif isinstance(expr, (complex, complex)):
        # ...
    elif isinstance(expr, (complex, complex)):
        # ...
    elif isinstance(expr, (complex, complex)):
        # ...
    elif isinstance(expr, (complex, complex)):
        # ...
    elif isinstance(expr, (complex, complex)):
        # ...
    elif isinstance(expr, (complex, complex)):
        # ...
    elif isinstance(expr, (complex, complex)):
        # ...
    elif isinstance(expr, (complex, complex)):
        # ...
    elif isinstance(expr, (complex, complex)):
        # ...
    elif isinstance(expr, (complex, complex)):
        # ...
    elif isinstance(expr, (complex, complex)):
        # ...
    elif isinstance(expr, (complex, complex)):
        # ...
    elif isinstance(expr, (complex, complex)):
        # ...
    elif isinstance(expr, (complex, complex)):
        # ...
    elif isinstance(expr, (complex, complex)):
        # ...
    elif isinstance(expr, (complex, complex)):
        # ...
    elif isinstance(expr, (complex, complex)):
        # ...
    elif isinstance(expr, (complex, complex)):
        # ...
    elif isinstance(expr, (complex, complex)):
        # ...
    elif isinstance(expr, (complex, complex)):
        # ...
    elif isinstance(expr, (complex, complex)):
        # ...
    elif isinstance(expr, (complex, complex)):
        # ...
    elif isinstance(expr, (complex, complex)):
        # ...
    elif isinstance(expr, (complex, complex)):
        # ...
    elif isinstance(expr, (complex, complex)):
        # ...
    elif isinstance(expr, (complex, complex)):
        # ...
    elif isinstance(expr, (complex, complex)):
        # ...
    elif isinstance(expr, (complex, complex)):
        # ...
    elif isinstance(expr, (complex, complex)):
        # ...
    elif isinstance(expr, (complex, complex)):
        # ...
    elif isinstance(expr, (complex, complex)):
        # ...
    elif isinstance(expr, (complex, complex)):
        # ...
    elif isinstance(expr, (complex, complex)):
        # ...
    elif isinstance(expr, (complex, complex)):
        # ...
    elif isinstance(expr, (complex, complex)):
        # ...
    elif isinstance(expr, (complex, complex)):
        # ...
    elif isinstance(expr, (complex, complex)):
        # ...
    elif isinstance(expr, (complex, complex)):
        # ...
    elif isinstance(expr, (complex, complex)):
        # ...
    elif isinstance(expr, (complex, complex)):
        # ...
    elif isinstance(expr, (complex, complex)):
        # ...
    elif isinstance(expr, (complex, complex)):
        # ...
    elif isinstance(expr, (complex, complex)):
        # ...
    elif isinstance(expr, (complex, complex)):
        # ...
    elif isinstance(expr, (complex, complex)):
        # ...
    elif isinstance(expr, (complex, complex)):
        # ...
    elif isinstance(expr, (complex, complex)):
        # ...
    elif isinstance(expr, (complex, complex)):
        # ...
    elif isinstance(expr, (complex, complex)):
        # ...
